relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,5.0,29.700000762939453,29.81704831481934
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,10.0,29.70703519620455,29.728852719726564
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,20.0,29.708444383387892,29.55246232299805
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,30.0,29.70994738528603,29.37607012573242
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,50.0,29.047076874089587,28.808483775634766
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,75.0,24.879656035376673,27.070722573852535
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,100.0,20.48359606048992,23.688681307373045
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,125.0,18.276009095161477,20.167465069580075
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,150.0,16.166571344648087,17.59258125854492
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,200.0,13.954103270336788,14.139254352722167
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,300.0,11.936517748785556,11.867393665161135
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,500.0,10.214887178919133,9.50077137023926
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,700.0,8.683847402815715,8.174690669555664
csio/2902765/profiles/D2902765_160.nc,0,2024-06-17,2024-06-17,0,11.882,86.44,D,1000.0,6.959063864173322,6.559352861938478
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,5.0,29.52109928073878,29.600937471557614
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,10.0,29.524699591445824,29.51329905163574
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,20.0,29.528737675036574,29.338023960083007
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,30.0,29.531889385604412,29.162747562744144
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,50.0,28.81922581744303,28.760814814453123
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,75.0,24.583069397541156,27.03107812646484
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,100.0,20.65975894999379,23.504049560058583
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,125.0,18.554461817939007,20.02705791577148
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,150.0,16.74324967575085,17.578561856933593
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,200.0,14.040196580003288,14.22271874859619
csio/2902765/profiles/D2902765_161.nc,0,2024-06-27,2024-06-27,0,11.558,86.314,D,300.0,11.867269743349762,12.068953466064453
